Date,GSPC.Open,GSPC.High,GSPC.Low,GSPC.Close,GSPC.Volume,GSPC.Adjusted
1992-12-30,437.980011,439.369995,437.119995,438.820007,183930000,438.820007
1992-12-31,438.820007,439.589996,435.709991,435.709991,165910000,435.709991
1993-01-04,435.700012,437.320007,434.480011,435.380005,201210000,435.380005
1993-01-05,435.380005,435.399994,433.549988,434.339996,240350000,434.339996
1993-01-06,434.339996,435.170013,432.519989,434.519989,295240000,434.519989
1993-01-07,434.519989,435.459991,429.76001,430.730011,304850000,430.730011
1993-01-08,430.730011,430.730011,426.880005,429.049988,263470000,429.049988
1993-01-11,429.040009,431.040009,429.01001,430.950012,217150000,430.950012
1993-01-12,430.950012,431.390015,428.190002,431.040009,239410000,431.040009
1993-01-13,431.029999,433.440002,429.98999,433.029999,245360000,433.029999
1993-01-14,433.079987,435.959991,433.079987,435.940002,281040000,435.940002
1993-01-15,435.869995,439.48999,435.839996,437.149994,309720000,437.149994
1993-01-18,437.130005,437.130005,435.920013,436.839996,196030000,436.839996
1993-01-19,436.839996,437.700012,434.589996,435.130005,283240000,435.130005
1993-01-20,435.140015,436.230011,433.369995,433.369995,268790000,433.369995
1993-01-21,433.369995,435.75,432.480011,435.48999,257620000,435.48999
1993-01-22,435.48999,437.809998,435.48999,436.109985,293320000,436.109985
1993-01-25,436.109985,440.529999,436.109985,440.01001,288740000,440.01001
1993-01-26,440.049988,442.660004,439.540009,439.950012,314110000,439.950012
1993-01-27,439.950012,440.040009,436.820007,438.109985,277020000,438.109985
1993-01-28,438.130005,439.140015,437.299988,438.660004,256980000,438.660004
1993-01-29,438.670013,438.929993,436.910004,438.779999,247200000,438.779999
1993-02-01,438.779999,442.519989,438.779999,442.519989,238570000,442.519989
1993-02-02,442.519989,442.869995,440.76001,442.549988,271560000,442.549988
1993-02-03,442.559998,447.350006,442.559998,447.200012,345410000,447.200012
1993-02-04,447.200012,449.859985,447.200012,449.559998,351140000,449.559998
1993-02-05,449.559998,449.559998,446.950012,448.929993,324710000,448.929993
1993-02-08,448.940002,450.040009,447.700012,447.850006,243400000,447.850006
1993-02-09,448.040009,448.040009,444.519989,445.329987,240410000,445.329987
1993-02-10,445.329987,446.369995,444.23999,446.230011,251910000,446.230011
1993-02-11,446.209991,449.359985,446.209991,447.660004,257190000,447.660004
1993-02-12,447.660004,447.700012,444.579987,444.579987,216810000,444.579987
1993-02-16,444.529999,444.529999,433.470001,433.910004,332850000,433.910004
1993-02-17,433.929993,433.970001,430.920013,433.299988,302210000,433.299988
1993-02-18,433.299988,437.790009,428.25,431.899994,311180000,431.899994
1993-02-19,431.929993,434.26001,431.679993,434.220001,310700000,434.220001
1993-02-22,434.209991,436.48999,433.529999,435.23999,311570000,435.23999
1993-02-23,435.339996,436.839996,432.410004,434.799988,329060000,434.799988
